hour,eweld_u219_weekday_median_kw,scale_factor,base_load_kw,llm_calls,input_tokens,output_tokens,l20_gpu_compute_h
0,27.970100,8.794353054,245.978934,204.0,1224000,61200,0.8500
1,22.779800,8.794353054,200.333604,204.0,1224000,61200,0.8500
2,22.203100,8.794353054,195.261900,204.0,1224000,61200,0.8500
3,21.338100,8.794353054,187.654785,204.0,1224000,61200,0.8500
4,21.770600,8.794353054,191.458343,192.0,1152000,57600,0.8000
5,22.058900,8.794353054,193.993755,192.0,1152000,57600,0.8000
6,30.997850,8.794353054,272.606037,342.0,1452000,89400,1.0667
7,49.164000,8.794353054,432.365574,516.5,1913000,138950,1.4788
8,86.649800,8.794353054,762.028933,697.5,2403000,190050,1.9115
9,103.302100,8.794353054,908.475139,778.0,2644000,212200,2.1139
10,112.024600,8.794353054,985.183883,833.0,2786000,227900,2.2424
11,113.178100,8.794353054,995.328169,794.0,2708000,216200,2.1611
12,95.876900,8.794353054,843.175308,635.5,2311000,170650,1.7962
13,96.742000,8.794353054,850.783303,737.5,2563000,200050,2.0295
14,109.789900,8.794353054,965.531142,833.0,2786000,227900,2.2424
15,110.150350,8.794353054,968.701067,778.0,2644000,212200,2.1139
16,113.709331,8.794353054,1000.000000,713.5,2467000,194050,1.9587
17,104.960000,8.794353054,923.055297,634.5,2229000,172350,1.7594
18,90.830800,8.794353054,798.798123,516.5,1913000,138950,1.4788
19,89.749450,8.794353054,789.288350,445.5,1707000,119250,1.3031
20,83.910400,8.794353054,737.937683,429.5,1643000,115250,1.2559
21,73.601750,8.794353054,647.279775,358.5,1437000,95550,1.0802
22,64.879100,8.794353054,570.569711,78.0,156000,23400,0.1625
23,61.707200,8.794353054,542.674903,39.0,78000,11700,0.0813
